사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
Jan-19,경부선,1711,성균관대,56 ,2 ,7712 ,1982 ,26457 ,6304 ,71907 ,9980 ,59775 ,21905 ,29092 ,15462 ,23008 ,12691 ,22048 ,12498 ,24132 ,13419 ,24440 ,16304 ,19625 ,18049 ,19711 ,19607 ,23354 ,24839 ,26279 ,32886 ,28327 ,57184 ,16741 ,58656 ,12886 ,37848 ,12356 ,34121 ,10972 ,32088 ,5088 ,21660 ,257 ,4399 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1712,화서,167 ,3 ,6598 ,1448 ,18782 ,4416 ,42380 ,5242 ,34129 ,11371 ,17091 ,7651 ,13836 ,6679 ,12336 ,6689 ,11811 ,7547 ,11419 ,9139 ,9556 ,9155 ,9666 ,11186 ,11244 ,13548 ,13337 ,18976 ,12863 ,31987 ,7447 ,32444 ,5374 ,19315 ,5047 ,16057 ,4109 ,15269 ,1426 ,9982 ,85 ,2920 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1713,수원,1517 ,27 ,20400 ,5666 ,37700 ,31507 ,77372 ,52663 ,77413 ,78376 ,54091 ,66906 ,52058 ,63588 ,54747 ,73075 ,58156 ,82239 ,62699 ,84904 ,64686 ,80813 ,76716 ,85717 ,93158 ,94110 ,102450 ,107155 ,111398 ,129855 ,91017 ,126425 ,92180 ,66766 ,72782 ,56635 ,67185 ,46646 ,28438 ,30879 ,868 ,9564 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1714,독산,564 ,8 ,7131 ,3093 ,16523 ,13329 ,43514 ,39854 ,42837 ,109309 ,24739 ,43023 ,18969 ,18004 ,18705 ,14081 ,20145 ,14810 ,19919 ,15414 ,18222 ,17685 ,19851 ,18006 ,23792 ,21386 ,46926 ,25865 ,81534 ,40867 ,37133 ,42098 ,20913 ,24298 ,16660 ,23463 ,11167 ,21053 ,3853 ,13409 ,111 ,813 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1715,세류,278 ,0 ,3073 ,693 ,7731 ,2591 ,16219 ,5277 ,11615 ,5237 ,7529 ,3844 ,6019 ,3890 ,6776 ,3937 ,5550 ,4023 ,4930 ,4066 ,4673 ,4520 ,4741 ,5211 ,5488 ,6512 ,7697 ,8436 ,7529 ,12091 ,4684 ,12248 ,3645 ,7312 ,3011 ,6905 ,1871 ,6354 ,695 ,4162 ,12 ,1344 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1716,병점,2287 ,11 ,6642 ,4041 ,23775 ,11851 ,48837 ,19962 ,37857 ,26874 ,27899 ,15637 ,24384 ,12094 ,23684 ,13722 ,24084 ,14250 ,22692 ,16311 ,21052 ,18920 ,22737 ,20695 ,25195 ,25569 ,33972 ,32495 ,39153 ,44944 ,20742 ,48109 ,14001 ,32605 ,12353 ,30119 ,9277 ,28697 ,3210 ,17821 ,34 ,9445 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1717,세마,104 ,6 ,1700 ,586 ,5601 ,1322 ,9716 ,3484 ,9008 ,5849 ,7103 ,2556 ,5307 ,2207 ,4860 ,2264 ,5325 ,2273 ,4998 ,2987 ,4265 ,3159 ,4193 ,3834 ,4862 ,4658 ,6309 ,6631 ,6672 ,9169 ,3035 ,8080 ,2218 ,7091 ,1924 ,5719 ,1189 ,4486 ,507 ,3630 ,37 ,187 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1718,오산대,59 ,1 ,1624 ,471 ,3996 ,2332 ,9749 ,4144 ,7204 ,5263 ,5810 ,3092 ,5007 ,2214 ,3903 ,2405 ,4248 ,2818 ,4225 ,3317 ,3844 ,3549 ,4141 ,4216 ,5436 ,4592 ,6406 ,6980 ,8132 ,9060 ,3549 ,7266 ,2678 ,6073 ,2477 ,4707 ,1690 ,3756 ,863 ,3319 ,51 ,140 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1719,오산,109 ,2 ,4575 ,1219 ,10952 ,8845 ,21289 ,18736 ,20339 ,22457 ,16970 ,13353 ,17580 ,10429 ,17187 ,10978 ,17445 ,11596 ,17176 ,13152 ,16424 ,13963 ,17006 ,16602 ,18803 ,19120 ,25013 ,23843 ,30189 ,22551 ,14880 ,28347 ,12964 ,17367 ,10161 ,15622 ,6144 ,14436 ,3024 ,8364 ,81 ,490 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1720,진위,0 ,0 ,582 ,167 ,1551 ,1766 ,3085 ,7038 ,2806 ,7564 ,2466 ,1583 ,2069 ,1160 ,1987 ,1099 ,2161 ,1172 ,2164 ,1402 ,2004 ,1291 ,1965 ,1835 ,2480 ,2031 ,5880 ,2568 ,9744 ,2610 ,3223 ,2513 ,2067 ,1959 ,1228 ,1784 ,540 ,1486 ,303 ,858 ,13 ,43 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1721,송탄,59 ,2 ,3988 ,691 ,7533 ,3678 ,11855 ,5124 ,11612 ,7365 ,10691 ,4615 ,8716 ,3915 ,9217 ,4206 ,9053 ,5608 ,8478 ,6575 ,7662 ,6567 ,7284 ,8298 ,9057 ,9979 ,9599 ,11326 ,9785 ,14182 ,6198 ,12583 ,4510 ,11749 ,3662 ,9020 ,2165 ,6840 ,1124 ,7344 ,31 ,647 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1722,서정리,10 ,0 ,2832 ,1043 ,6948 ,3128 ,9157 ,8834 ,10153 ,9202 ,7769 ,4541 ,9167 ,4683 ,7543 ,5010 ,8467 ,5726 ,8352 ,6652 ,7291 ,6316 ,7931 ,8464 ,7703 ,9093 ,12788 ,9833 ,11148 ,10449 ,6122 ,12508 ,4776 ,8571 ,3909 ,7570 ,1923 ,6985 ,919 ,5363 ,17 ,880 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1723,지제,1 ,0 ,668 ,2668 ,1831 ,4197 ,5282 ,8371 ,3534 ,6590 ,3063 ,3410 ,2414 ,1868 ,2460 ,2215 ,3357 ,2594 ,2671 ,2437 ,2798 ,2356 ,4261 ,3011 ,5020 ,3406 ,10512 ,3210 ,8856 ,5456 ,4729 ,4351 ,3137 ,3406 ,3258 ,2713 ,1836 ,2152 ,863 ,1176 ,3 ,290 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1724,평택,19 ,4 ,6697 ,2829 ,12838 ,8761 ,24051 ,16150 ,24324 ,20435 ,20448 ,18733 ,24391 ,19446 ,19777 ,20441 ,21040 ,21162 ,22207 ,24339 ,21485 ,21956 ,24508 ,24555 ,28416 ,25256 ,31836 ,32136 ,30736 ,36226 ,20416 ,26844 ,21617 ,20299 ,15187 ,17518 ,12224 ,15462 ,6163 ,7608 ,327 ,1617 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1725,성환,5 ,1 ,1684 ,534 ,2654 ,2301 ,5263 ,8575 ,7670 ,8779 ,6324 ,3798 ,6531 ,4107 ,5514 ,4484 ,6018 ,5246 ,5889 ,4331 ,5911 ,4787 ,5424 ,5595 ,7223 ,6789 ,10260 ,6493 ,10001 ,7935 ,4164 ,6686 ,3684 ,5409 ,2660 ,4987 ,1116 ,4015 ,568 ,3205 ,88 ,587 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1726,직산,11 ,0 ,460 ,227 ,1033 ,732 ,1584 ,2931 ,1394 ,3002 ,1690 ,1407 ,1453 ,1135 ,1389 ,1151 ,1304 ,1097 ,1463 ,1064 ,1451 ,1180 ,1640 ,1201 ,1397 ,1568 ,2287 ,1392 ,3499 ,2458 ,1119 ,1788 ,894 ,1139 ,1184 ,1031 ,350 ,871 ,151 ,635 ,10 ,304 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1727,두정,881 ,0 ,3743 ,938 ,7819 ,2479 ,12138 ,6040 ,10406 ,9172 ,8597 ,8003 ,8122 ,7166 ,7405 ,8260 ,8689 ,7819 ,6364 ,6364 ,8239 ,9069 ,8259 ,7381 ,10583 ,9630 ,9999 ,10855 ,15058 ,14898 ,8149 ,12052 ,5483 ,10686 ,5240 ,9015 ,4180 ,6708 ,1962 ,5557 ,262 ,2305 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1728,천안,1761 ,4 ,2440 ,677 ,5383 ,2740 ,8757 ,6173 ,9888 ,7635 ,11250 ,10911 ,11498 ,9983 ,12769 ,14494 ,11821 ,12946 ,10654 ,10347 ,14315 ,14870 ,12855 ,11891 ,15358 ,14224 ,12778 ,14179 ,13279 ,15405 ,9845 ,10102 ,7900 ,8901 ,6193 ,6377 ,4498 ,6117 ,2125 ,3572 ,512 ,2133 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1729,당정,4 ,1 ,3816 ,909 ,9987 ,3515 ,28239 ,9713 ,23639 ,17931 ,13605 ,7636 ,10496 ,6005 ,9658 ,5537 ,10634 ,6180 ,10646 ,6779 ,8945 ,6960 ,9420 ,8342 ,9927 ,10396 ,13570 ,12552 ,17598 ,20632 ,8346 ,21349 ,6163 ,14622 ,5158 ,13046 ,3757 ,13096 ,1692 ,8976 ,109 ,1689 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1749,서동탄,0 ,0 ,1328 ,8 ,3744 ,914 ,11118 ,1710 ,5099 ,2873 ,3188 ,1042 ,2697 ,933 ,2575 ,1210 ,2432 ,1493 ,2538 ,1723 ,2099 ,2088 ,2379 ,2259 ,3083 ,2928 ,3264 ,3660 ,3274 ,4842 ,1644 ,5751 ,983 ,3808 ,937 ,2553 ,499 ,2286 ,151 ,2636 ,4 ,1209 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경부선,1750,광명,0 ,0 ,22 ,1806 ,1977 ,2612 ,13191 ,3303 ,5631 ,2962 ,6191 ,3814 ,2924 ,2357 ,3512 ,2627 ,3550 ,3052 ,3470 ,165 ,3060 ,5398 ,3845 ,243 ,9331 ,5495 ,3508 ,4214 ,12148 ,11228 ,4312 ,11056 ,3648 ,3444 ,2514 ,98 ,1791 ,2690 ,2 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경인선,1801,개봉,994 ,4 ,17582 ,5312 ,35888 ,11727 ,102383 ,16330 ,99398 ,27387 ,58761 ,22408 ,43425 ,18839 ,39560 ,21749 ,40902 ,26734 ,39653 ,24831 ,34113 ,32602 ,31322 ,38473 ,33485 ,48265 ,36068 ,64260 ,37461 ,98479 ,22985 ,91797 ,17193 ,56305 ,17119 ,49943 ,11925 ,45443 ,6828 ,29266 ,242 ,3767 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경인선,1802,오류동,347 ,5 ,11013 ,2141 ,16851 ,6666 ,51233 ,7205 ,52501 ,13101 ,30223 ,11803 ,22390 ,12983 ,20113 ,11050 ,23781 ,12839 ,21298 ,14125 ,17932 ,15943 ,17385 ,19139 ,17888 ,22648 ,19217 ,27718 ,19320 ,43884 ,10737 ,43589 ,8869 ,25573 ,7511 ,22466 ,5706 ,21239 ,2458 ,15497 ,184 ,2385 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경인선,1803,역곡,501 ,22 ,24254 ,3711 ,46246 ,12459 ,139670 ,13573 ,136481 ,28416 ,73712 ,25811 ,50507 ,23017 ,46575 ,25044 ,47661 ,28808 ,45105 ,34322 ,38212 ,35165 ,37846 ,43536 ,39371 ,54885 ,42893 ,70046 ,41529 ,118521 ,26603 ,119326 ,21046 ,71649 ,20087 ,64003 ,16533 ,61433 ,8179 ,38698 ,588 ,7655 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경인선,1804,부천,1527 ,11 ,33628 ,5426 ,46616 ,16202 ,127056 ,22625 ,125569 ,50905 ,73691 ,46944 ,56914 ,43533 ,56633 ,47655 ,61354 ,59554 ,62625 ,67678 ,60171 ,63888 ,62381 ,68539 ,68815 ,77221 ,73238 ,97268 ,79224 ,147308 ,55150 ,141701 ,45566 ,79501 ,45868 ,70330 ,42108 ,57829 ,22065 ,42814 ,1943 ,8326 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경인선,1805,송내,1146 ,4 ,16883 ,9213 ,43169 ,18036 ,133782 ,34415 ,110201 ,92181 ,60621 ,51099 ,45767 ,30621 ,44706 ,28273 ,48671 ,30753 ,44244 ,35814 ,39657 ,35229 ,42809 ,38222 ,45706 ,48381 ,56524 ,63441 ,95813 ,104571 ,46215 ,109675 ,31727 ,66335 ,27380 ,56013 ,22760 ,55517 ,11823 ,36854 ,1648 ,7647 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경인선,1806,부평,6138 ,106 ,26634 ,5859 ,41876 ,12965 ,104104 ,21671 ,94848 ,40563 ,55180 ,49742 ,47273 ,43063 ,50706 ,53856 ,56846 ,62128 ,56918 ,74986 ,58535 ,74426 ,63751 ,78450 ,71371 ,88590 ,77216 ,102051 ,76907 ,158629 ,59191 ,142647 ,56442 ,81400 ,60938 ,65105 ,58390 ,54380 ,33618 ,37630 ,6029 ,12319 ,0 ,4 ,0 ,0 ,0 ,0 
Jan-19,경인선,1807,백운,50 ,0 ,7641 ,1693 ,15559 ,3369 ,33578 ,5175 ,31002 ,13010 ,19876 ,10008 ,16710 ,7220 ,15750 ,7941 ,15608 ,9601 ,13703 ,10661 ,12686 ,12000 ,11653 ,13278 ,11628 ,16000 ,12731 ,20316 ,13117 ,27707 ,7458 ,29000 ,5719 ,18365 ,6103 ,16806 ,4370 ,14401 ,2280 ,11522 ,245 ,3316 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경인선,1808,동암,454 ,2 ,20019 ,4086 ,33423 ,9553 ,67792 ,16303 ,62398 ,20238 ,39506 ,16708 ,31226 ,17114 ,29740 ,17894 ,30313 ,20124 ,29283 ,20647 ,26176 ,23831 ,24507 ,28510 ,26097 ,30655 ,30317 ,44912 ,29792 ,63200 ,19725 ,61678 ,14931 ,43155 ,14198 ,37996 ,10673 ,34588 ,5596 ,24893 ,469 ,7178 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경인선,1809,주안,816 ,14 ,14302 ,3754 ,27497 ,9415 ,73755 ,21456 ,64136 ,36060 ,41223 ,27739 ,32972 ,20768 ,34878 ,21562 ,40648 ,26944 ,37511 ,25445 ,33970 ,27949 ,36150 ,29528 ,38874 ,34463 ,45847 ,44560 ,48881 ,67346 ,30956 ,73950 ,26831 ,45074 ,25707 ,38375 ,21596 ,36497 ,11308 ,26247 ,1218 ,8107 ,0 ,2 ,0 ,0 ,0 ,0 
Jan-19,경인선,1810,제물포,611 ,4 ,6841 ,1846 ,14141 ,5415 ,39575 ,11741 ,34799 ,23314 ,20182 ,13437 ,15793 ,9672 ,16557 ,9020 ,17474 ,11379 ,16475 ,11730 ,15260 ,12983 ,15758 ,13507 ,17808 ,18062 ,21952 ,20900 ,25826 ,29455 ,12430 ,29603 ,8375 ,20147 ,6838 ,17837 ,4858 ,17475 ,2250 ,13819 ,105 ,4600 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경인선,1811,동인천,1599 ,2 ,8969 ,1754 ,17448 ,10701 ,48303 ,23578 ,38197 ,36296 ,26043 ,20509 ,24039 ,22085 ,25885 ,25802 ,28552 ,28484 ,29821 ,28179 ,30100 ,27797 ,32114 ,26424 ,33731 ,29390 ,41408 ,31261 ,52995 ,40624 ,27893 ,42173 ,17915 ,27268 ,14281 ,21744 ,9564 ,22444 ,3988 ,16546 ,8 ,6081 ,0 ,35 ,0 ,0 ,0 ,0 
Jan-19,경인선,1812,인천,257 ,4 ,1304 ,634 ,2988 ,3113 ,5734 ,5738 ,5297 ,8812 ,3717 ,4051 ,3256 ,4876 ,4439 ,8539 ,6389 ,9013 ,8050 ,8932 ,8857 ,7403 ,10930 ,6164 ,10832 ,5061 ,13284 ,4112 ,14129 ,3898 ,6021 ,2887 ,4604 ,2281 ,3246 ,1837 ,1706 ,1604 ,607 ,1169 ,2 ,1334 ,0 ,19 ,0 ,0 ,0 ,0 
Jan-19,경인선,1813,구일,200 ,4 ,3694 ,1372 ,8901 ,4039 ,28465 ,5715 ,26748 ,16081 ,13709 ,9247 ,10475 ,9472 ,10176 ,12711 ,11326 ,17159 ,11547 ,20894 ,11146 ,25475 ,12452 ,27166 ,14384 ,28113 ,14640 ,22753 ,16221 ,32434 ,9706 ,27945 ,19095 ,14389 ,21355 ,12580 ,12361 ,11972 ,23115 ,7551 ,107 ,1178 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경인선,1814,소사,854 ,18 ,15885 ,2766 ,16235 ,7919 ,40308 ,9123 ,37825 ,14204 ,24332 ,11102 ,20592 ,11664 ,17980 ,12094 ,19459 ,13324 ,17622 ,14658 ,15812 ,13879 ,16118 ,16292 ,17129 ,19334 ,18300 ,23535 ,16909 ,31401 ,10909 ,31942 ,8002 ,20967 ,6057 ,18582 ,4818 ,18431 ,2550 ,12431 ,196 ,3853 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경인선,1815,부개,1597 ,8 ,9539 ,2094 ,16892 ,4206 ,43925 ,5228 ,39237 ,11938 ,23248 ,8450 ,17200 ,7276 ,15401 ,8250 ,15746 ,10053 ,15029 ,10799 ,12783 ,11888 ,11350 ,14670 ,12589 ,18403 ,13452 ,20843 ,14413 ,32510 ,8619 ,31769 ,5979 ,21022 ,5315 ,18742 ,4025 ,17401 ,2063 ,11085 ,313 ,3674 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경인선,1816,간석,285 ,10 ,5715 ,1352 ,12308 ,2646 ,27432 ,3739 ,23316 ,9074 ,13765 ,6511 ,10997 ,6113 ,11037 ,6191 ,10936 ,7346 ,10728 ,7761 ,8921 ,8084 ,9250 ,9859 ,9233 ,11856 ,10516 ,14931 ,11322 ,21399 ,6532 ,21915 ,5167 ,14380 ,4594 ,12143 ,3569 ,11685 ,1978 ,7869 ,210 ,2971 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경인선,1817,도원,594 ,7 ,2376 ,896 ,3936 ,1417 ,7721 ,3643 ,7023 ,15035 ,6065 ,5374 ,5786 ,5216 ,6008 ,4374 ,7336 ,4758 ,7463 ,5380 ,6153 ,5042 ,6430 ,5769 ,7028 ,6866 ,5905 ,6838 ,9126 ,7566 ,3481 ,6190 ,2813 ,4444 ,2586 ,4087 ,1333 ,3564 ,528 ,2855 ,69 ,1720 ,0 ,14 ,0 ,0 ,0 ,0 
Jan-19,경인선,1821,온수(성공회대입구),164 ,3 ,4683 ,1446 ,8049 ,4302 ,22025 ,6622 ,24180 ,13737 ,15506 ,8684 ,11497 ,6817 ,11285 ,6695 ,13216 ,7235 ,11994 ,7864 ,10888 ,8634 ,11160 ,10237 ,11560 ,11301 ,13273 ,14093 ,12919 ,22329 ,6411 ,23020 ,4755 ,13548 ,5069 ,12433 ,3722 ,11554 ,2311 ,8078 ,279 ,1526 ,1 ,0 ,0 ,0 ,0 ,0 
Jan-19,경인선,1822,중동,455 ,3 ,9720 ,1587 ,17731 ,4046 ,45976 ,5412 ,38742 ,15218 ,22766 ,10283 ,17133 ,8245 ,15972 ,9618 ,16581 ,11653 ,16443 ,11491 ,13483 ,12430 ,13345 ,14228 ,13805 ,17663 ,14260 ,21609 ,15724 ,31245 ,9062 ,33692 ,6983 ,20536 ,5998 ,18433 ,4615 ,16974 ,1887 ,13318 ,220 ,3208 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경인선,1823,도화,238 ,1 ,3970 ,1899 ,6598 ,2684 ,15548 ,3906 ,14196 ,8510 ,9115 ,3781 ,7304 ,3950 ,6768 ,4114 ,6839 ,5462 ,6718 ,5467 ,5898 ,5459 ,5936 ,6492 ,7662 ,7785 ,8204 ,8366 ,8397 ,10318 ,4467 ,10156 ,2895 ,7183 ,2171 ,6016 ,1548 ,5471 ,895 ,4643 ,35 ,1910 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경원선,1008,이촌(국립중앙박물관),74 ,9 ,1106 ,720 ,3587 ,2296 ,8773 ,4348 ,11083 ,8947 ,8951 ,6821 ,7303 ,4282 ,7397 ,4023 ,7527 ,3928 ,8158 ,4962 ,7089 ,5167 ,7531 ,5747 ,9064 ,6133 ,11130 ,7005 ,12122 ,9159 ,6679 ,7860 ,5188 ,5259 ,4618 ,4500 ,3458 ,4961 ,1115 ,3058 ,96 ,881 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경원선,1009,서빙고,34 ,0 ,963 ,604 ,1536 ,2376 ,2872 ,4311 ,3840 ,8932 ,3102 ,3955 ,3118 ,3251 ,2907 ,2180 ,3310 ,2275 ,3847 ,3051 ,3139 ,2300 ,3782 ,3071 ,3974 ,3425 ,5791 ,3571 ,7699 ,4229 ,3061 ,3731 ,2724 ,2258 ,1960 ,1724 ,1364 ,1716 ,370 ,1273 ,32 ,427 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경원선,1010,한남,39 ,1 ,1816 ,750 ,3078 ,4836 ,5009 ,9505 ,6962 ,15894 ,5764 ,13692 ,5149 ,7431 ,6029 ,6243 ,7199 ,6009 ,6826 ,6846 ,7139 ,5117 ,8590 ,5851 ,9991 ,6673 ,13559 ,7935 ,17622 ,9729 ,9038 ,7223 ,6434 ,4313 ,5482 ,4067 ,4670 ,3109 ,2266 ,2248 ,132 ,824 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경원선,1011,옥수,0 ,0 ,0 ,7 ,19 ,21 ,34 ,29 ,121 ,250 ,72 ,31 ,13 ,118 ,12 ,160 ,16 ,67 ,16 ,27 ,32 ,9 ,27 ,14 ,356 ,8 ,376 ,22 ,43 ,28 ,372 ,35 ,13 ,10 ,17 ,29 ,8 ,12 ,19 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경원선,1012,응봉,130 ,1 ,1269 ,310 ,2780 ,1130 ,6761 ,1808 ,8724 ,2294 ,5126 ,1330 ,3485 ,1265 ,3291 ,1371 ,3038 ,1602 ,3175 ,1967 ,2519 ,2398 ,2372 ,2926 ,2493 ,3605 ,2737 ,4213 ,3103 ,5336 ,1588 ,5677 ,1019 ,3229 ,930 ,2914 ,613 ,2260 ,257 ,1856 ,13 ,525 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경원선,1013,왕십리(성동구청),650 ,2 ,5144 ,932 ,8716 ,5011 ,26713 ,10244 ,46974 ,23052 ,28499 ,18013 ,16715 ,17733 ,16668 ,22387 ,20441 ,26141 ,22976 ,28647 ,24106 ,28708 ,26947 ,31038 ,29853 ,35693 ,34329 ,45071 ,36087 ,77331 ,28635 ,65808 ,27486 ,35287 ,33205 ,28243 ,33650 ,27698 ,16173 ,14869 ,1805 ,5877 ,1 ,0 ,0 ,0 ,0 ,0 
Jan-19,경원선,1014,청량리(서울시립대입구),1002 ,9 ,6348 ,1161 ,7565 ,10682 ,26535 ,13634 ,34608 ,22589 ,28957 ,33427 ,31082 ,28535 ,25935 ,39035 ,32555 ,38216 ,35235 ,37754 ,37832 ,37697 ,42323 ,39037 ,39714 ,39779 ,40358 ,39906 ,36266 ,55294 ,29323 ,47000 ,34217 ,25739 ,17029 ,22085 ,13757 ,18807 ,4717 ,10577 ,330 ,4320 ,0 ,1 ,0 ,0 ,0 ,0 
Jan-19,경원선,1016,외대앞,430 ,6 ,5870 ,1911 ,9383 ,5231 ,23224 ,5798 ,32587 ,15147 ,21747 ,12638 ,14874 ,11306 ,15282 ,12969 ,16756 ,14729 ,18396 ,14308 ,17386 ,14386 ,19952 ,15372 ,20996 ,17247 ,21794 ,20599 ,17988 ,27464 ,11537 ,26595 ,9209 ,17319 ,9114 ,16582 ,7534 ,17232 ,4237 ,14096 ,252 ,3584 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경원선,1017,신이문,1113 ,3 ,8675 ,1491 ,14795 ,3786 ,38643 ,4462 ,46860 ,8911 ,26618 ,5886 ,18039 ,5957 ,15772 ,7229 ,15963 ,8595 ,15502 ,10288 ,13027 ,11306 ,12099 ,14222 ,11352 ,17298 ,11081 ,21596 ,11229 ,32193 ,7760 ,30780 ,4969 ,19372 ,3745 ,16972 ,2683 ,17353 ,1237 ,11568 ,123 ,2794 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경원선,1018,석계,1212 ,11 ,6595 ,2660 ,12732 ,5602 ,28922 ,5954 ,34723 ,12049 ,24980 ,8886 ,19389 ,8004 ,17873 ,9896 ,17985 ,12191 ,18143 ,12663 ,15659 ,15497 ,15428 ,17845 ,14563 ,23148 ,16240 ,29789 ,14637 ,42295 ,10421 ,38939 ,8000 ,24520 ,7228 ,20525 ,6121 ,20517 ,2988 ,12517 ,255 ,3261 ,1 ,0 ,0 ,0 ,0 ,0 
Jan-19,경원선,1019,광운대,1609 ,2 ,5835 ,1694 ,13776 ,3166 ,37100 ,4856 ,34724 ,9834 ,19572 ,9699 ,14666 ,7917 ,12763 ,8691 ,14100 ,10241 ,13299 ,11677 ,11929 ,12059 ,12684 ,12755 ,13351 ,16117 ,15022 ,18035 ,12705 ,27281 ,7367 ,27131 ,5860 ,17326 ,5771 ,14551 ,4097 ,14914 ,2287 ,11329 ,339 ,6319 ,1 ,1 ,0 ,0 ,0 ,0 
Jan-19,경원선,1020,월계,699 ,19 ,4810 ,1485 ,6921 ,3441 ,18199 ,5409 ,19360 ,8648 ,13456 ,6319 ,11395 ,5396 ,11057 ,5261 ,11365 ,6824 ,10523 ,6922 ,8894 ,7523 ,8600 ,9085 ,9563 ,10633 ,9450 ,12133 ,8872 ,16333 ,5342 ,15649 ,3486 ,9751 ,2946 ,8078 ,2427 ,7917 ,1019 ,5522 ,126 ,1488 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경원선,1021,녹천,1103 ,3 ,4223 ,1120 ,8071 ,1548 ,22515 ,2456 ,22002 ,5196 ,13332 ,3135 ,9633 ,3622 ,8022 ,3625 ,9280 ,4419 ,7987 ,4622 ,6852 ,5450 ,6040 ,6821 ,6598 ,8739 ,6380 ,10133 ,6377 ,14543 ,3715 ,15364 ,2419 ,9670 ,2154 ,8363 ,1408 ,8119 ,725 ,6049 ,58 ,1676 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경원선,1022,창동,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,3 ,0 ,2 ,0 ,3 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
