사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2019-01,경부선,1713,수원,1149442,1218291,147589,155225
2019-01,경부선,1714,독산,425046,448103,68162,71765
2019-01,경부선,1715,세류,95555,90492,18211,18161
2019-01,경부선,1716,병점,383141,383446,60726,60726
2019-01,경부선,1717,세마,74316,66566,14617,13612
2019-01,경부선,1718,오산대,71667,66774,13425,12941
2019-01,경부선,1719,오산,255002,248128,43309,43344
2019-01,경부선,1720,진위,40682,34644,7636,7285
2019-01,경부선,1721,송탄,117953,116502,24326,23812
2019-01,경부선,1722,서정리,110688,111264,24237,23587
2019-01,경부선,1723,지제,63312,58765,7242,7112
2019-01,경부선,1724,평택,320815,315485,67892,66292
2019-01,경부선,1725,성환,78338,78393,20313,20251
2019-01,경부선,1726,직산,20397,21029,5366,5284
2019-01,경부선,1727,두정,129268,131487,22310,22910
2019-01,경부선,1728,천안,130002,128484,55877,55197
2019-01,경부선,1729,당정,174805,166606,30604,29260
2019-01,경부선,1749,서동탄,42902,36644,10134,9282
2019-01,경부선,1750,광명,78196,61098,6431,5470
2019-01,경인선,1801,개봉,567257,567401,160030,166520
2019-01,경인선,1802,오류동,281322,258116,95635,93883
2019-01,경인선,1803,역곡,750795,725247,152804,154853
2019-01,경인선,1804,부천,983623,994438,218519,220820
2019-01,경인선,1805,송내,848291,830885,122961,121409
2019-01,경인선,1806,부평,1013723,1108119,149188,152451
2019-01,경인선,1807,백운,192357,185035,65110,66354
2019-01,경인선,1808,동암,444540,440339,102095,102926
2019-01,경인선,1809,주안,592278,536706,96798,88549
2019-01,경인선,1810,제물포,253761,235858,60147,60088
2019-01,경인선,1811,동인천,386868,367520,125985,121657
2019-01,경인선,1812,인천,83933,62133,31716,29348
2019-01,경인선,1813,구일,242468,271261,37355,36989
2019-01,경인선,1814,소사,255661,236488,72231,71031
2019-01,경인선,1815,부개,222869,205618,65846,64691
2019-01,경인선,1816,간석,152262,143703,45549,44132
2019-01,경인선,1817,도원,64486,64863,35274,36192
2019-01,경인선,1821,온수(성공회대입구),157853,154281,47094,45877
2019-01,경인선,1822,중동,231711,212763,69190,68129
2019-01,경인선,1823,도화,87519,76548,37883,37025
2019-01,경원선,1008,이촌(국립중앙박물관),102572,76092,29477,23974
2019-01,경원선,1009,서빙고,43668,43508,15757,15152
2019-01,경원선,1010,한남,98040,96128,34754,32168
2019-01,경원선,1011,옥수,1445,788,121,91
2019-01,경원선,1012,응봉,38351,31967,17072,16050
2019-01,경원선,1013,왕십리(성동구청),422894,480774,62879,67011
2019-01,경원선,1014,청량리(서울시립대입구),367681,399974,158007,165310
2019-01,경원선,1016,외대앞,246211,233082,52337,51437
2019-01,경원선,1017,신이문,215287,187164,65998,64898
2019-01,경원선,1018,석계,229136,257645,64959,69124
2019-01,경원선,1019,광운대,205537,192338,53320,53257
2019-01,경원선,1020,월계,111870,100025,56640,53811
2019-01,경원선,1021,녹천,109676,88711,39218,35962
2019-01,경원선,1022,창동,19,0,0,0
2019-01,경원선,1901,방학,197239,188478,109242,107190
2019-01,경원선,1902,도봉,122533,114295,69522,69718
2019-01,경원선,1903,도봉산,163088,83849,92078,71779
2019-01,경원선,1904,망월사,167313,166632,70977,73305
2019-01,경원선,1905,회룡,249439,235179,144082,145171
2019-01,경원선,1906,의정부,515625,543580,123588,125444
2019-01,경원선,1907,가능,152256,140676,58533,56804
2019-01,경원선,1908,녹양,113568,103216,34658,32717
2019-01,경원선,1909,양주,209812,185253,55754,53508
2019-01,경원선,1910,덕계,40320,36405,15483,14960
2019-01,경원선,1911,덕정,148065,142591,34959,35462
2019-01,경원선,1912,지행,166269,161449,46103,45369
2019-01,경원선,1913,동두천중앙,70022,65811,43089,43205
2019-01,경원선,1914,보산,38762,36526,13880,12911
2019-01,경원선,1915,동두천,43099,50274,20108,25594
2019-01,경원선,1916,소요산,48337,37020,62372,54630
2019-01,안산선,1751,산본,448304,484455,106437,108079
2019-01,안산선,1752,대야미,111880,96430,24935,23395
2019-01,안산선,1753,반월,113530,105344,28230,27928
2019-01,안산선,1754,상록수,510513,495290,84450,85664
2019-01,안산선,1755,한대앞,216583,210888,37547,37770
2019-01,안산선,1756,중앙,480226,511117,57930,56256
2019-01,안산선,1757,고잔,225464,216806,32769,31721
2019-01,안산선,1758,초지,88817,86237,12651,13039
2019-01,안산선,1759,안산,410566,371622,38369,35947
2019-01,안산선,1760,신길온천,42401,37258,8165,7822
2019-01,안산선,1761,정왕,211750,228532,23897,25505
2019-01,안산선,1762,오이도,256207,244259,36209,35361
2019-01,안산선,1763,수리산,98889,73299,32076,29771
2019-01,과천선,1450,선바위,249683,195677,31393,30069
2019-01,과천선,1451,경마공원,135284,138630,60965,60991
2019-01,과천선,1452,대공원,59162,62171,31234,33183
2019-01,과천선,1453,과천,120456,103727,34320,32896
2019-01,과천선,1454,정부과천청사,308487,301902,66282,63635
2019-01,과천선,1455,인덕원,680720,676281,106311,110092
2019-01,과천선,1456,평촌,464834,457435,66101,66163
2019-01,과천선,1457,범계,790403,769393,109095,106063
2019-01,분당선,1023,선릉,278427,500378,34768,51679
2019-01,분당선,1024,한티,396374,413225,69706,70771
2019-01,분당선,1025,도곡,155781,155154,42063,42070
2019-01,분당선,1026,구룡,30857,30299,12434,12239
2019-01,분당선,1027,개포동,76658,78688,21538,22152
2019-01,분당선,1028,대모산입구,68346,61760,29234,28706
2019-01,분당선,1030,수서,379294,382530,65134,66861
2019-01,분당선,1031,복정,25,0,0,0
2019-01,분당선,1846,수원,249890,169909,27800,17215
2019-01,분당선,1847,서울숲,207076,207131,22533,21791
2019-01,분당선,1848,압구정로데오,451755,516671,42330,41182
2019-01,분당선,1849,강남구청,241666,281747,41928,45124
2019-01,분당선,1850,선정릉,203804,224793,32804,32257
2019-01,분당선,1851,가천대,186832,216023,27334,28811
2019-01,분당선,1852,태평,352629,338209,91732,95998
2019-01,분당선,1853,모란,540743,531985,169136,185734
2019-01,분당선,1854,야탑,730803,769807,172832,170673
2019-01,분당선,1855,서현,759497,773561,137206,134207
2019-01,분당선,1856,수내,364964,360114,82906,82092
2019-01,분당선,1857,정자,451669,484328,76882,77577
2019-01,분당선,1858,미금,422530,446971,113374,122794
2019-01,분당선,1859,오리,319097,270314,84995,72171
2019-01,분당선,1860,이매,141591,135340,42041,41000
2019-01,분당선,1861,보정,57611,45834,24755,23232
2019-01,분당선,1862,죽전,377195,428482,80001,88064
2019-01,분당선,1863,구성,111594,112048,38488,38862
2019-01,분당선,1864,신갈,115462,110544,34087,33729
2019-01,분당선,1865,기흥,259142,246816,42350,41874
2019-01,분당선,1866,상갈,141070,132410,33606,31461
2019-01,분당선,1867,청명,114105,104334,18842,19140
2019-01,분당선,1868,영통,254011,260149,31617,31676
2019-01,분당선,1869,망포,390803,361759,34846,33268
2019-01,분당선,1870,매탄권선,122476,114975,16517,15976
2019-01,분당선,1871,수원시청,339525,385826,38330,39329
2019-01,분당선,1872,매교,54412,53571,17447,17541
2019-01,일산선,1948,원흥,222464,197811,44512,42321
2019-01,일산선,1949,지축,2,0,0,0
2019-01,일산선,1950,삼송,407823,384125,87401,86745
2019-01,일산선,1951,원당,275272,260445,82585,82374
2019-01,일산선,1952,화정,462731,474664,130390,129775
2019-01,일산선,1953,대곡,40040,28528,9210,8295
2019-01,일산선,1954,백석,277088,277139,80740,78852
2019-01,일산선,1955,마두,179985,186549,77167,79437
2019-01,일산선,1956,정발산,208869,225720,56527,52936
2019-01,일산선,1957,주엽,200870,202482,98914,103338
2019-01,일산선,1958,대화,352572,271133,89650,80896
2019-01,중앙선,1015,회기,684067,666710,129129,128734
2019-01,중앙선,1201,중랑,122101,115472,51649,50612
2019-01,중앙선,1202,상봉(시외버스터미널),143000,137073,39237,36867
2019-01,중앙선,1203,망우,172521,167062,69556,70878
2019-01,중앙선,1204,양원,28772,29685,15782,15786
2019-01,중앙선,1205,구리,347058,357649,87719,89160
2019-01,중앙선,1206,도농,216211,187739,58716,55895
2019-01,중앙선,1207,양정,18096,14747,6967,5937
2019-01,중앙선,1208,덕소,139275,135740,50107,50007
2019-01,중앙선,1209,도심,58817,44680,20003,18908
2019-01,중앙선,1210,팔당,19184,19206,6176,5803
2019-01,중앙선,1211,운길산,14701,13007,5812,5749
2019-01,중앙선,1212,양수,38629,38962,16598,16754
2019-01,중앙선,1213,신원,3187,2825,2438,2179
2019-01,중앙선,1214,국수,14325,13917,8576,8544
2019-01,중앙선,1215,아신,12518,12536,5118,5017
2019-01,중앙선,1216,오빈,5489,5252,3794,3829
2019-01,중앙선,1217,양평,68513,69220,32615,32589
2019-01,중앙선,1218,원덕,6045,5796,5061,4933
2019-01,중앙선,1219,용문,36259,36316,34572,34257
2019-01,중앙선,1220,지평,615,566,501,479
2019-01,장항선,1401,봉명,25197,24703,13835,13382
2019-01,장항선,1402,쌍용(나사렛대),48606,44773,14666,13807
2019-01,장항선,1403,아산,73834,65751,10005,9277
2019-01,장항선,1405,배방,22947,21645,8139,8021
2019-01,장항선,1407,온양온천,84623,85690,73363,73626
2019-01,장항선,1408,신창(순천향대),27393,26879,7314,6964
2019-01,경의선,1251,서울역,94475,118708,12831,16661
2019-01,경의선,1252,신촌,21246,28103,3191,3903
2019-01,경의선,1261,효창공원앞,64044,69279,13047,14475
2019-01,경의선,1262,공덕,97249,79394,12603,11922
2019-01,경의선,1263,서강대,54116,53339,9629,8898
2019-01,경의선,1264,홍대입구,51771,64757,5906,6468
2019-01,경의선,1265,가좌,109237,97211,47219,47573
2019-01,경의선,1266,디지털미디어시티,51241,48032,8623,8640
2019-01,경의선,1267,수색,53120,54293,15180,15169
2019-01,경의선,1268,화전,42874,39439,8114,8020
2019-01,경의선,1269,강매,68817,55740,16219,15458
2019-01,경의선,1270,행신,199484,191845,35522,35886
2019-01,경의선,1271,능곡,82285,73147,28701,27790
2019-01,경의선,1272,곡산,11758,11719,4209,4073
2019-01,경의선,1273,백마,171339,157674,31842,31126
2019-01,경의선,1274,풍산,131192,119253,30873,30730
2019-01,경의선,1275,일산,218799,212721,56204,56786
2019-01,경의선,1276,탄현,194496,187025,36597,36267
2019-01,경의선,1277,야당,123062,115251,26760,26021
2019-01,경의선,1278,운정,141244,130069,32911,31481
2019-01,경의선,1279,금릉,114351,112078,23783,23617
2019-01,경의선,1280,금촌,169243,166186,44895,45722
2019-01,경의선,1282,월롱,61746,55813,7194,8019
2019-01,경의선,1283,파주,29543,20352,7325,5784
2019-01,경의선,1284,문산,138756,135982,42569,42177
2019-01,경의선,1291,서울역,11,0,0,0
2019-01,경의선,1293,홍대입구,2,0,0,0
2019-01,경의선,1295,김포공항,10,0,0,0
2019-01,경의선,1296,계양,7,0,0,0
2019-01,경의선,1297,검암,5,0,0,0
2019-01,경춘선,1311,신내,13900,14886,6998,6745
2019-01,경춘선,1312,갈매,63226,54339,16415,15231
2019-01,경춘선,1313,별내,56467,55160,17701,16543
2019-01,경춘선,1314,퇴계원,80984,73242,25996,24471
2019-01,경춘선,1315,사릉,82111,77969,18861,18487
2019-01,경춘선,1316,금곡,29582,28461,15558,14369
2019-01,경춘선,1317,평내호평,131330,128279,41797,39593
2019-01,경춘선,1318,천마산,29047,24827,16520,16454
2019-01,경춘선,1319,마석,76587,76036,32473,32259
2019-01,경춘선,1320,대성리,13377,12880,4473,4005
2019-01,경춘선,1321,청평,45320,41255,15084,14790
2019-01,경춘선,1322,상천,5205,4423,3812,3739
2019-01,경춘선,1323,가평,43342,45953,12227,11760
2019-01,경춘선,1324,굴봉산,3123,3071,1501,1534
2019-01,경춘선,1325,백양리,8614,8259,720,766
2019-01,경춘선,1326,강촌,9716,8853,3707,3635
2019-01,경춘선,1327,김유정,7769,8199,2731,2742
2019-01,경춘선,1328,남춘천,58343,60051,24195,25346
2019-01,경춘선,1329,춘천,33885,29626,17392,14323
2019-01,수인선,1878,달월,1038,747,865,431
2019-01,수인선,1879,월곶,59105,55042,13378,13156
2019-01,수인선,1880,소래포구,97856,90366,38607,37484
2019-01,수인선,1881,인천논현,149882,156861,34100,33963
2019-01,수인선,1882,호구포,90870,90716,18151,17957
2019-01,수인선,1883,남동인더스파크,54317,60283,5948,5811
2019-01,수인선,1884,원인재,109977,111720,27923,28306
2019-01,수인선,1885,연수,126045,126660,29483,29338
2019-01,수인선,1886,송도,64785,59378,22506,22191
2019-01,수인선,1888,인하대,134223,125177,23818,22629
2019-01,수인선,1889,숭의,82885,76089,28383,27531
2019-01,수인선,1890,신포,43861,45326,12921,13331
2019-01,수인선,1891,인천,20868,40378,11458,14049
2019-01,경강선,1501,판교,107396,108340,12114,10040
2019-01,경강선,1502,이매,28715,23087,6985,5585
2019-01,경강선,1503,삼동,53152,44616,9321,9192
2019-01,경강선,1504,경기광주,176154,164708,25708,26256
2019-01,경강선,1505,초월,66411,62995,11406,11479
2019-01,경강선,1506,곤지암,49314,47245,11014,10654
2019-01,경강선,1507,신둔도예촌,27790,25181,5470,5173
2019-01,경강선,1508,이천,64628,67915,12433,13231
2019-01,경강선,1509,부발,45186,42466,6157,5974
2019-01,경강선,1510,세종대왕릉,5423,5391,2781,2686
2019-01,경강선,1511,여주,43963,42968,13529,13267
2019-01,5호선,2511,방화,171979,160910,48362,46312
2019-01,5호선,2512,개화산,147874,139989,35495,33823
2019-01,5호선,2513,김포공항,216911,182963,30949,30878
2019-01,5호선,2514,송정,216201,205432,60599,60431
2019-01,5호선,2515,마곡,176763,159755,26922,25724
2019-01,5호선,2516,발산,448838,457389,72839,70273
2019-01,5호선,2517,우장산,380499,373682,87503,90995
2019-01,5호선,2518,화곡,764917,704486,146048,140077
2019-01,5호선,2519,까치산,769021,724296,158304,159488
2019-01,5호선,2520,신정(은행정),373681,290837,61645,60011
2019-01,5호선,2521,목동,468654,506184,88507,89947
2019-01,5호선,2522,오목교(목동운동장앞),666082,722651,86962,86033
2019-01,5호선,2523,양평,177617,176162,28711,28330
2019-01,5호선,2524,영등포구청,88181,92186,20672,20358
2019-01,5호선,2525,영등포시장,221814,238594,81767,83945
2019-01,5호선,2526,신길,89495,103940,11733,12869
2019-01,5호선,2527,여의도,683494,729474,52715,51298
2019-01,5호선,2528,여의나루,193422,203267,24966,23992
2019-01,5호선,2529,마포,372675,386467,65600,65229
2019-01,5호선,2530,공덕,378952,409930,46749,44068
2019-01,5호선,2531,애오개,179895,183018,40186,39053
2019-01,5호선,2532,충정로(경기대입구),117489,117469,15945,16796
2019-01,5호선,2533,서대문,449372,467665,74055,71241
2019-01,5호선,2534,광화문(세종문화회관),1022109,1062447,87987,81909
2019-01,5호선,2535,종로3가,441289,409078,122897,128616
2019-01,5호선,2536,을지로4가,113913,131046,45925,46569
2019-01,5호선,2537,동대문역사문화공원,77768,90305,8975,9733
2019-01,5호선,2538,청구,97714,92167,28002,21303
2019-01,5호선,2539,신금호,157349,154501,38695,42963
2019-01,5호선,2540,행당,212258,185808,49484,45339
2019-01,5호선,2541,왕십리(성동구청),131362,157349,27177,26204
2019-01,5호선,2542,마장,143267,134912,49634,48537
2019-01,5호선,2543,답십리,413270,373975,86799,84604
2019-01,5호선,2544,장한평,469205,465274,97119,98163
2019-01,5호선,2545,군자(능동),295969,330997,40193,43687
2019-01,5호선,2546,아차산(어린이대공원후문),346110,335278,95520,92686
2019-01,5호선,2547,광나루(장신대),366611,328766,68102,66033
2019-01,5호선,2548,천호(풍납토성),484232,496590,140935,149958
2019-01,5호선,2549,강동,502069,433173,104126,94346
2019-01,5호선,2550,길동,165882,175877,66177,67974
2019-01,5호선,2551,굽은다리(강동구민회관앞),233202,221182,66208,61275
2019-01,5호선,2552,명일,186301,194472,60969,63838
2019-01,5호선,2553,고덕,221638,215230,65089,63403
2019-01,5호선,2554,상일동,318982,262373,65253,61805
2019-01,5호선,2555,둔촌동,209380,215358,61708,63195
2019-01,5호선,2556,올림픽공원(한국체대),111922,104819,30864,28555
2019-01,5호선,2557,방이,185340,190186,46436,46038
2019-01,5호선,2558,오금,90009,89326,18685,18267
2019-01,5호선,2559,개롱,161324,165432,46963,47841
2019-01,5호선,2560,거여,170625,158520,56371,55024
2019-01,5호선,2561,마천,109860,107635,49789,52202
2019-01,6호선,2611,응암,432574,426356,116207,115202
2019-01,6호선,2612,역촌,86735,107201,36031,34774
2019-01,6호선,2613,불광,123414,123733,42571,34561
2019-01,6호선,2614,독바위,67135,68946,21527,25819
2019-01,6호선,2615,연신내,25,0,2,0
2019-01,6호선,2616,구산,183515,124393,55766,54438
2019-01,6호선,2617,새절(신사),309167,290669,87089,88281
2019-01,6호선,2618,증산(명지대앞),242882,227254,71063,71069
2019-01,6호선,2619,디지털미디어시티,348858,385939,53858,53860
2019-01,6호선,2620,월드컵경기장(성산),111535,120983,46349,46460
2019-01,6호선,2621,마포구청,363189,322426,82469,75604
2019-01,6호선,2622,망원,353805,385868,85752,90169
2019-01,6호선,2623,합정,436483,386049,42570,37588
2019-01,6호선,2624,상수,291531,335798,23172,23503
2019-01,6호선,2625,광흥창(서강),232495,225081,57776,56950
2019-01,6호선,2626,대흥(서강대앞),209511,220277,48004,47678
2019-01,6호선,2627,공덕,489399,482818,76137,71833
2019-01,6호선,2628,효창공원앞,175640,160486,40637,38227
2019-01,6호선,2629,삼각지,184221,152208,18108,14570
2019-01,6호선,2630,녹사평(용산구청),157383,165381,19494,18782
2019-01,6호선,2631,이태원,448763,498553,34989,36760
2019-01,6호선,2632,한강진,243064,281963,15723,15679
2019-01,6호선,2633,버티고개,57730,51894,15137,17314
2019-01,6호선,2634,약수,93236,95145,25775,24240
2019-01,6호선,2635,청구,94594,98991,19175,24116
2019-01,6호선,2636,신당,232009,238760,41243,39818
2019-01,6호선,2637,동묘앞,214228,225214,70909,64736
2019-01,6호선,2638,창신,89098,69059,18861,17698
2019-01,6호선,2639,보문,194680,175465,33715,32423
2019-01,6호선,2640,안암(고대병원앞),317118,317938,37134,35107
2019-01,6호선,2641,고려대(종암),232126,221839,35457,35372
2019-01,6호선,2642,월곡(동덕여대),293000,280282,81768,80883
2019-01,6호선,2643,상월곡(한국과학기술연구원),146489,128535,42556,41455
2019-01,6호선,2644,돌곶이,193137,179733,59198,59109
2019-01,6호선,2645,석계,315137,318909,78340,79194
2019-01,6호선,2646,태릉입구,136700,154325,29525,30899
2019-01,6호선,2647,화랑대(서울여대입구),322367,242084,47593,42333
2019-01,6호선,2648,봉화산(서울의료원),250098,223017,54586,52951
2019-01,7호선,2711,장암,61254,21459,7103,4372
2019-01,7호선,2712,도봉산,229794,268815,38236,55905
2019-01,7호선,2713,수락산,324221,313250,88802,88833
2019-01,7호선,2714,마들,287854,264283,79579,79420
2019-01,7호선,2715,노원,536292,575598,122516,121965
2019-01,7호선,2716,중계,378203,341527,95196,92966
2019-01,7호선,2717,하계,477632,447057,109895,104934
2019-01,7호선,2718,공릉(서울과학기술대),304216,303167,69246,69926
2019-01,7호선,2719,태릉입구,213689,195986,40450,38134
2019-01,7호선,2720,먹골,267295,257794,64030,64624
2019-01,7호선,2721,중화,288775,276940,64937,64815
2019-01,7호선,2722,상봉(시외버스터미널),461901,441190,73224,70184
2019-01,7호선,2723,면목,380729,362795,90652,92994
2019-01,7호선,2724,사가정,391640,387249,98172,97058
2019-01,7호선,2725,용마산,156543,142057,35613,38290
2019-01,7호선,2726,중곡,247484,224647,62753,63505
2019-01,7호선,2727,군자(능동),379876,283621,82273,69241
2019-01,7호선,2728,어린이대공원(세종대),341050,332765,40738,40259
2019-01,7호선,2729,건대입구,429463,462509,59256,54166
